匹配类型,问题,回答建议
精确匹配,顾客刚进店铺咨询打招呼，比如：在吗？你好？有人吗？在不？,您好，欢迎光临，很高兴为您服务。
精确匹配,顾客询问商品价格是多少钱1件？,亲，我们的商品价格售卖价格是69元/件，欢迎下单购买喔！
精确匹配,顾客说太贵了,亲，您能够看中我们店的产品，肯定是经过精挑细选后才选择，我们这边性价比一定会让你物超所值。当然我们店铺有优惠券可以领，只要您能够满足购买金额 就可以享受优惠折扣哟。
精确匹配,顾客明确表示不买；,亲，感谢您的惠顾，希望您可以收藏下咱家店铺，我们会有不定期的优惠活动，亲要多多关注哦，再次感谢您对三只阿猫的支持。
精确匹配,顾客表示考虑或再看看时；,亲，还有什么疑问或相关的问题，或者我哪里没有讲清楚？
精确匹配,顾客问是否赠送小礼品？,亲，因为小礼品是仓库随机发送的，具体有没有小礼品我们客服也不是很清楚。要不我给您备注一下，一般备注了都会给您送小礼品的。但是也有意外，如果到时收到货以后没有小礼品的话，希望您可以谅解。
精确匹配,顾客咨询使用什么快递？,亲，我们默认使用EMS快递，如果申通快递不到的地方则使用EMS，亲那边EMS快递到吗？
精确匹配,EMS快递不到，可以发申通或其他快递吗？,亲，EMS相对其他快递来说更安全，您放心我们发给您的是EMS航空快件，不是平邮，所以速度还是很快的。
精确匹配,顾客问可以包邮吗？,亲，只要您消费满100就可以包邮的哦。
精确匹配,顾客咨询什么时候发货？,亲，我们一般是每天下午4点前完成支付的订单，当天可以发货，，4点之后就要第二天发货了。
精确匹配,顾客咨询商品什么时候寄到？,亲，正常情况2～3天就可以到了，当然一不排除一些偏远的地方可能会稍微滞后一些才会到达！
精确匹配,如有特殊情况是否而已优先发货？因为顾客很急着用,亲，鉴于您情况特殊，为了保证您能早日收到宝贝，我已与快递沟通，我们会在今天为您安排寄出，届时请注意查收哦。
精确匹配,顾客进行催促尽快发货；,"亲，让您久等了。我刚才查询了一下，您的订单已经确认给您发货了，但是可能是快递公司还没将信息进行录入到官网，顒没有物流信息。但是货物已经在飞咯，相信很快就会到达您的手上，请您耐心等待，谢谢
"
精确匹配,顾客发现质量问题要求退换货；,"亲，不好意思，给您添麻烦了。请问是哪里有质量问题？您是否可以拍照让我们看一下，如果真的是质量问题是可以退换货的。
"
精确匹配,顾客要求无理由退货；,亲，我们不支持到付和邮政平邮的哦！请您付了快递费再寄出，寄出后就申请退款吧。（退款原因选择7天无理由退货）申请好联系我们同意您的申请，然后将寄来包裹快递单号填上退款申请处。寄出后也尽可能给我们留言一下发什么快递公司及快递单号。方便我们收到您寄来裤子就会给您处理，谢谢您的配合。
精确匹配,货品没有发出出去，顾客要求退款；,"亲，您好，我们这边核查过，货品已经寄出了，不知道您为什么要求退款呢?要不这样，您收到货品先看看，所不定您会非常满意的，我们的货品绝对是正品的。如果到时候收到之后还是要退款的话，请您及时联系我们，我们会立即帮您处理，您看如何？

"
精确匹配,我收到商品了，上次也和你们沟通了，同意退款了，麻烦你告诉我一下怎么淘宝申请退款？  ,亲，您点击一下您已买到的宝贝，点击我们家的商品，看到有申请退款的地方，选择一下退款原因为“七天无理由退换货或是其他”，在填写金额就可以了哦，等我们同意了，您再填写退货信息哦。  
精确匹配,我收到商品色差很大的，我要求退货，并且我不想承担运费。。。,亲，很不好意思，拍照片的时候，光线的影响，会让实物的颜色有偏亮的或是偏暗的现象，显示器的等相关色差是避免不了的呢，麻烦亲谅解一下呢；若是您实在不满意，可以要求退回的呢，但是运费需要您自己承担的哦，麻烦亲谅解呢！  
精确匹配,商品都是实物拍摄吗?有色差吗?,我们保证我们所有的宝贝图片都是实物拍摄，我们已经尽量避免色差，颜色已经非常接近实物图了，但是拍摄时由于灯光的原因，以及网购每台电脑的显示器光亮程度不同导致颜色理解会有所不同，可能会存在少许色差。色差不作为之后退换的依据
精确匹配,查看你们已经收到我的退货了，什么时候可以给我退款？  ,亲；刚刚已经给您查询了一下，刚刚签收到了呢，已经通知仓库给您安排了呢，退款我们会在72小时内尽快处理的，还麻烦您耐心等待一下哦  
精确匹配,尺码我也是按照你们推荐的尺码进行购买的，为什么这么不合适？,亲，我们哪个淘宝客服接待您的呢，我们会查看聊天的呢，我们都是给予的是建议的尺码，每个人的体型和喜好都是不一样的呢，麻烦亲谅解一下呢。
精确匹配,我是穿XL还是XXL呢，平时穿xl的~,亲~我们是专柜正品，以您平常为主哦·~，XL和XXL尺码之间就相差3-5cm哦~XL码上身会修身一些，XXL会宽松一下哦~
精确匹配,商品是否有货?,您好，能拍下就有货的哦，不能拍的就表示已经拍完了，请在拍下宝贝后30分钟内付款，否则您想要的尺码，就会被别人拍下了哦（淘宝系统自动视为放弃团购机会，定单自动关闭。）
精确匹配,如何购买?聚划算团购价显示是59元，为什么我拍下是139呢?,亲，只有通过聚划算的统一入口点“参团”购买，才能以59元包邮的优惠价格购买到此宝贝哦~%2B系统默认的拍下立减的哦··要不你稍等一下，我去查看一下，是不是折扣软件的问题哦·
精确匹配,订单不想要，你给我取消吧~,亲·不好意思哦·淘宝有规定，卖家不能随便关闭买家的订单哦·你可以直接在“我已买到的宝贝”后台操作哦，关闭的原因还请亲选择“不喜欢%2F订单信息错误哦”
精确匹配,刚刚收到商品就发现你们掉价了,亲，不好意思，面前这个宝贝在活动中，我们也是会把您的这个问题反馈上去，亲对于这个宝贝您还喜欢吗？中间的差价也我们也会帮您申请一下，到时候您直接申请退款差价就可以了哦。  
